Title,Author,Old,Year,Ecosystem,Ecosystem_description,Matrix,Location,Lat;Long,Sample_date,Method,Model,Tau_reported,Tau_d,Notes
Flow Characteristics of Constructed Wetlands: Tracer Studies of the Hydraulic Regime,Stairs,y,1993,Constructed Wetland,"Pond 1, Rock, Free water surface wetland pond at pulp mill",Freshwater,Oregon,"44.38° N, 123.16° W",1992/1993,V/Q,y,1.8 d,1.8,
Flow Characteristics of Constructed Wetlands: Tracer Studies of the Hydraulic Regime,Stairs,y,1993,Constructed Wetland,"Pond 2, Cattail, Free water surface wetland pond at pulp mill",Freshwater,Oregon,"44.38° N, 123.16° W",1992/1993,V/Q,y,2.3 d,2.3,
Flow Characteristics of Constructed Wetlands: Tracer Studies of the Hydraulic Regime,Stairs,y,1993,Constructed Wetland,"Pond 4, Bulrush, Free water surface wetland pond at pulp mill",Freshwater,Oregon,"44.38° N, 123.16° W",1992/1993,V/Q,y,2.4 d,2.4,
Flow Characteristics of Constructed Wetlands: Tracer Studies of the Hydraulic Regime,Stairs,y,1993,Constructed Wetland,"Pond 7, Empty, Free water surface wetland pond at pulp mill",Freshwater,Oregon,"44.38° N, 123.16° W",1992/1993,V/Q,y,2.1 d,2.1,
Flow Characteristics of Constructed Wetlands: Tracer Studies of the Hydraulic Regime,Stairs,y,1993,Constructed Wetland,"Pond 8, Cattail, Free water surface wetland pond at pulp mill",Freshwater,Oregon,"44.38° N, 123.16° W",1992/1993,V/Q,y,1.5 d,1.5,
Flow Characteristics of Constructed Wetlands: Tracer Studies of the Hydraulic Regime,Stairs,y,1993,Constructed Wetland,"Pond 1, Rock, Free water surface wetland pond at pulp mill",Freshwater,Oregon,"44.38° N, 123.16° W",1992/1993,V/Q Modified,y,0.9 d,0.9,"Modification: Porosity correction, Density assumed to be 0.55 for rock cell"
Flow Characteristics of Constructed Wetlands: Tracer Studies of the Hydraulic Regime,Stairs,y,1993,Constructed Wetland,"Pond 2, Cattail, Free water surface wetland pond at pulp mill",Freshwater,Oregon,"44.38° N, 123.16° W",1992/1993,V/Q Modified,y,2.1 d,2.1,"Modification: Porosity correction, Density assumed to be 0.9 for planted cell"
Flow Characteristics of Constructed Wetlands: Tracer Studies of the Hydraulic Regime,Stairs,y,1993,Constructed Wetland,"Pond 4, Bulrush, Free water surface wetland pond at pulp mill",Freshwater,Oregon,"44.38° N, 123.16° W",1992/1993,V/Q Modified,y,2.2 d,2.2,"Modification: Porosity correction, Density assumed to be 0.9 for planted cell"
Flow Characteristics of Constructed Wetlands: Tracer Studies of the Hydraulic Regime,Stairs,y,1993,Constructed Wetland,"Pond 7, Empty, Free water surface wetland pond at pulp mill",Freshwater,Oregon,"44.38° N, 123.16° W",1992/1993,V/Q Modified,y,2.1 d,2.1,"Modification: Porosity correction, Density assumed to be 1.0 for non-vegitated cell"
Flow Characteristics of Constructed Wetlands: Tracer Studies of the Hydraulic Regime,Stairs,y,1993,Constructed Wetland,"Pond 8, Cattail, Free water surface wetland pond at pulp mill",Freshwater,Oregon,"44.38° N, 123.16° W",1992/1993,V/Q Modified,y,1.4 d,1.4,"Modification: Porosity correction, Density assumed to be 0.9 for planted cell"
Earth System Science - Chapter 6. ,Henshaw et al.,n,2000,Ocean,Global Ocean,Saltwater,Global Ocean,,,V/Q,y,2640 y,963600,"Based on global water balances (Input from Glaciers, Atmosphere, Rivers/Lakes/Marshes, Groundwater/Permafrost, Output to Atmosphere)"
Compositional changes in free-living bacterial communities along a salinity gradient in two temperate estuaries,Bouvier & del Giorgio,y,2002,Estuary,Choptank River Estuary,Brackish,Maryland,"39° N, 76° W",36586,V/Q Modified,y,20 d,20,Modification: Salinity correction
Compositional changes in free-living bacterial communities along a salinity gradient in two temperate estuaries,Bouvier & del Giorgio,y,2002,Estuary,Choptank River Estuary,Brackish,Maryland,"39° N, 76° W",36647,V/Q Modified,y,100 d,100,Modification: Salinity correction
Compositional changes in free-living bacterial communities along a salinity gradient in two temperate estuaries,Bouvier & del Giorgio,y,2002,Estuary,Choptank River Estuary,Brackish,Maryland,"39° N, 76° W",36708,V/Q Modified,y,180 d,180,Modification: Salinity correction
Compositional changes in free-living bacterial communities along a salinity gradient in two temperate estuaries,Bouvier & del Giorgio,y,2002,Estuary,Choptank River Estuary,Brackish,Maryland,"39° N, 76° W",36770,V/Q Modified,y,42 d,42,Modification: Salinity correction
Origin and fate of Lake Vostok water frozen to the base of the East Antarctic ice sheet,Bell et al.,n,2002,Lake,Lake Vostok,Freshwater,Antarctica,"78° S, 107° E",2000/2001,V/Q,y,"13,300 y",4854500,"V = 1,800 km^3, Q = 0.146 km^3/yr"
The residence time of water in the atmosphere revisited,van der Ent & Tuinenburg,n,2017,Atmosphere,Global atmospheric water,Freshwater,Global,,,V/Q,y,8.9 d,8.9,V as storage from Rodell et al. 2015 and Q as flux from Trenberth et al. 2011
Hydrodynamics of horizontal subsurface flow constructed wetlands,Chazarenc et al.,y,2003,Constructed Wetland,"Subsurface horizontal flow constructed wetland in Curienne, France for WWT",Freshwater,France,"45° N, 6° W",36586,V/Q,y,71.9 h,71.9,
Hydrodynamics of horizontal subsurface flow constructed wetlands,Chazarenc et al.,y,2003,Constructed Wetland,"Subsurface horizontal flow constructed wetland in Curienne, France for WWT",Freshwater,France,"45° N, 6° W",36647,V/Q,y,35.5 h,35.5,
Hydrodynamics of horizontal subsurface flow constructed wetlands,Chazarenc et al.,y,2003,Constructed Wetland,"Subsurface horizontal flow constructed wetland in Curienne, France for WWT",Freshwater,France,"45° N, 6° W",36708,V/Q,y,104.2 h,104.2,
Hydrodynamics of horizontal subsurface flow constructed wetlands,Chazarenc et al.,y,2003,Constructed Wetland,"Subsurface horizontal flow constructed wetland in Curienne, France for WWT",Freshwater,France,"45° N, 6° W",36861,V/Q,y,71.8 h,71.8,
Hydrodynamics of horizontal subsurface flow constructed wetlands,Chazarenc et al.,y,2003,Constructed Wetland,"Subsurface horizontal flow constructed wetland in Curienne, France for WWT",Freshwater,France,"45° N, 6° W",44256,V/Q,y,30.8 h,30.8,
Hydrodynamics of horizontal subsurface flow constructed wetlands,Chazarenc et al.,y,2003,Constructed Wetland,"Subsurface horizontal flow constructed wetland in Curienne, France for WWT",Freshwater,France,"45° N, 6° W",44317,V/Q,y,72.6 h,72.6,
Hydrodynamics of horizontal subsurface flow constructed wetlands,Chazarenc et al.,y,2003,Constructed Wetland,"Subsurface horizontal flow constructed wetland in Curienne, France for WWT",Freshwater,France,"45° N, 6° W",44378,V/Q,y,99.8 h,99.8,
Hydrodynamics of horizontal subsurface flow constructed wetlands,Chazarenc et al.,y,2003,Constructed Wetland,"Subsurface horizontal flow constructed wetland in Curienne, France for WWT",Freshwater,France,"45° N, 6° W",44531,V/Q,y,79.8 h,79.8,
"Complex Interactions Among Diet, Gastrointestinal Transit, and Gut Microbiota in Humanized Mice",Kashyap et al.,n,2013,GI Tract,"Humanized mice, GI transit time, n = 4 mice, Stanford, California",Intestinal ,California,,,Tracer study,n,285 m,0.2,"Carmine red tracer, Li et al. 2011"
"Complex Interactions Among Diet, Gastrointestinal Transit, and Gut Microbiota in Humanized Mice",Kashyap et al.,n,2013,GI Tract,"Germ-free mice, GI transit time, n=4 mice, Stanford, California",Intestinal ,California,,,Tracer study,n,457 m,0.32,"Carmine red tracer, Li et al. 2011"
"Complex Interactions Among Diet, Gastrointestinal Transit, and Gut Microbiota in Humanized Mice",Kashyap et al.,n,2013,GI Tract,"Conventionally raised mice, GI transit time, n= 4 mice, Stanford, California",Intestinal ,California,,,Tracer study,n,294 m,0.2,"Carmine red tracer, Li et al. 2011"
"Complex Interactions Among Diet, Gastrointestinal Transit, and Gut Microbiota in Humanized Mice",Kashyap et al.,n,2013,GI Tract,"Conventionalized mice, G, Stanford, CaliforniaI transit time, n=4 mice",Intestinal ,California,,,Tracer study,n,307 m,0.21,"Carmine red tracer, Li et al. 2011"
Nutrient Retention by Benthic Macrofaunal Biomass of Danish Estuaries: Importance of Nutrient Load and Residence Time,Josefson & Rasmussen,y,2000,Estuary,"Roskilde Estuary, Denmark",Brackish,Denmark,"55.66, 12.07",1982-1995,Modeling,y,90 d,90,
Nutrient Retention by Benthic Macrofaunal Biomass of Danish Estuaries: Importance of Nutrient Load and Residence Time,Josefson & Rasmussen,y,2000,Estuary,"Vejle Estuary, Denmark",Brackish,Denmark,"55.7, 9.67",1982-1995,Modeling,y,14 d,14,
Nutrient Retention by Benthic Macrofaunal Biomass of Danish Estuaries: Importance of Nutrient Load and Residence Time,Josefson & Rasmussen,y,2000,Estuary,"Horsens Estuary, Denmark",Brackish,Denmark,"55.85, 9.9",1982-1995,Modeling,y,10 d,10,
Nutrient Retention by Benthic Macrofaunal Biomass of Danish Estuaries: Importance of Nutrient Load and Residence Time,Josefson & Rasmussen,y,2000,Estuary,"Kolding Estuary, Denmark",Brackish,Denmark,"55.49, 9.56",1982-1995,Modeling,y,7 d,7,
Nutrient Retention by Benthic Macrofaunal Biomass of Danish Estuaries: Importance of Nutrient Load and Residence Time,Josefson & Rasmussen,y,2000,Estuary,"Nakskov Estuary, Denmark",Brackish,Denmark,"54.83, 11.08",1982-1995,Modeling,y,7 d,7,
Nutrient Retention by Benthic Macrofaunal Biomass of Danish Estuaries: Importance of Nutrient Load and Residence Time,Josefson & Rasmussen,y,2000,Estuary,"Stege Bugt Estuary, Denmark",Brackish,Denmark,"55.02, 12.18",1982-1995,Modeling,y,16 d,16,
Nutrient Retention by Benthic Macrofaunal Biomass of Danish Estuaries: Importance of Nutrient Load and Residence Time,Josefson & Rasmussen,y,2000,Estuary,"Randers Estuary, Denmark",Brackish,Denmark,"56.47, 10.08",1982-1995,Modeling,y,2 d,2,
Nutrient Retention by Benthic Macrofaunal Biomass of Danish Estuaries: Importance of Nutrient Load and Residence Time,Josefson & Rasmussen,y,2000,Estuary,"Arhus Bugt Estuary, Denmark",Brackish,Denmark,"56.15, 10.32",1982-1995,Modeling,y,12 d,12,
Nutrient Retention by Benthic Macrofaunal Biomass of Danish Estuaries: Importance of Nutrient Load and Residence Time,Josefson & Rasmussen,y,2000,Estuary,"Norsminde Estuary, Denmark",Brackish,Denmark,"56.02, 10.24",1982-1995,Modeling,y,6 d,6,
Nutrient Retention by Benthic Macrofaunal Biomass of Danish Estuaries: Importance of Nutrient Load and Residence Time,Josefson & Rasmussen,y,2000,Estuary,"Odense Estuary, Denmark",Brackish,Denmark,"55.45, 10.46",1982-1995,Modeling,y,12 d,12,
Nutrient Retention by Benthic Macrofaunal Biomass of Danish Estuaries: Importance of Nutrient Load and Residence Time,Josefson & Rasmussen,y,2000,Estuary,"Helnaes Bugt Estuary, Denmark",Brackish,Denmark,"55.17, 10.06",1982-1995,Modeling,y,24 d,24,
Nutrient Retention by Benthic Macrofaunal Biomass of Danish Estuaries: Importance of Nutrient Load and Residence Time,Josefson & Rasmussen,y,2000,Estuary,"Isefjord Estuary, Denmark",Brackish,Denmark,"55.80, 11.79",1982-1995,Modeling,y,50 d,50,
Nutrient Retention by Benthic Macrofaunal Biomass of Danish Estuaries: Importance of Nutrient Load and Residence Time,Josefson & Rasmussen,y,2000,Estuary,"Halkaer Bredning Estuary, Denmark",Brackish,Denmark,"56.95, 9.56",1982-1995,Modeling,y,7 d,7,
Nutrient Retention by Benthic Macrofaunal Biomass of Danish Estuaries: Importance of Nutrient Load and Residence Time,Josefson & Rasmussen,y,2000,Estuary,Flensborg Estuary Denmark,Brackish,Denmark,"54.86,9.53",1982-1995,Modeling,y,50 d,50,
