Lake,Country,Turnover,Residence
LakeMaggiore_Verbano_LagoMaggiore,ItalySwitzerland,0.25,4
TodoslosSantosLake,Chile,0.25,4
LakeBaldegg_Baldeggersee,Switzerland,0.238095238,4.2
LakeIseo_Lagod'Iseo,Italy,0.238095238,4.2
LakeConstance_Bodensee,GermanySwitzerlandAustria,0.23255814,4.3
CoreyLake,UnitedStates,0.227272727,4.4
ElkandBeaverLakes,Canada,0.227272727,4.4
LakeComo,Italy,0.222222222,4.5
LakeMendota,UnitedStates,0.222222222,4.5
SeaofGalilee,Israel,0.2,5
Bannwaldsee,Germany,0.192307692,5.2
SebagoLake,UnitedStates,0.19047619,5.25
KennisisLake,Canada,0.190114068,5.26
BayLake,UnitedStates,0.194174757,5.15
LakeBiwa,Japan,0.181818182,5.5
JordanPond,UnitedStates,0.166666667,6
LagodiMergozzo,Italy,0.166666667,6
LakeOntario,CanadaUnitedStates,0.166666667,6
LagodiCandia,Italy,0.153846154,6.5
LaclaNonne,Canada,0.153846154,6.5
Agerisee,Switzerland,0.147058824,6.8
LochMorar,UnitedKingdom,0.145560408,6.87
LakePowell,UnitedStates,0.138888889,7.2
Schaalsee,Germany,0.133333333,7.5
MillstatterSee_LakeMillstatt,Austria,0.133333333,7.5
MooseLake,Canada,0.133333333,7.5
IliamnaLake,UnitedStates,0.128205128,7.8
LacduBourget,France,0.125,8
OdellLake,UnitedStates,0.125,8
LakeLugano_LagodiLugano,SwitzerlandItaly,0.12195122,8.2
LakeNeuchatel_LacdeNeuchätel_Neuenburgersee,Switzerland,0.12195122,8.2
LakeOrta_LagodOrta_Cusio,Italy,0.112359551,8.9
Weissensee,Austria,0.108695652,9.2
QuesnelLake,Canada,0.099009901,10.1
SchwerinerSee,Germany,0.099009901,10.1
LakeTaupo,NewZealand,0.095238095,10.5
Worthersee_LakeWorth,Austria,0.095238095,10.5
LakeChelan,UnitedStates,0.094339623,10.6
LakeGeneva,SwitzerlandFrance,0.087719298,11.4
LakeWakatipu,NewZealand,0.083333333,12
HigginsLake,UnitedStates,0.08,12.5
CrescentLake,UnitedStates,0.076923077,13
LakeZug_Zugersee,Switzerland,0.068027211,14.7
Muritz,Germany,0.066666667,15
WesternBrookPond,Canada,0.064935065,15.4
LakeSempach_Sempachersee,Switzerland,0.059171598,16.9
SkaneatelesLake,UnitedStates,0.055555556,18
CayugaLake,UnitedStates,0.054945055,18.2
BearLake,UnitedStates,0.051020408,19.6
GreenLake,UnitedStates,0.047619048,21
LakeStarnberg_StarnbergerSee,Germany,0.047619048,21
LakeHuron,CanadaUnitedStates,0.045454545,22
LakeGarda_LagodiGarda,Italy,0.037313433,26.8
WaldoLake,UnitedStates,0.03125,32
CrystalLake,UnitedStates,0.022222222,45
LakeColumbia,UnitedStates,0.021276596,47
OkanaganLake,Canada,0.018939394,52.8
LakeOhrid,theRepublicofMacedonia,0.018939394,52.8
LakeMichigan,UnitedStates,0.01010101,99
Arendsee,Germany,0.01,100
LakeYosemite,UnitedStates,0.008264463,121
GreatBearLake,Canada,0.008064516,124
CraterLake,UnitedStates,0.006369427,157
LakeSuperior,CanadaUnitedStates,0.005235602,191
CaspianSea,AzerbaijanIranKazakhstanRussiaTurkmenistan,0.004,250
LakeBaikal,Russia,0.003030303,330
LakeTahoe,UnitedStates,0.001538462,650
LakeTiticaca,Peru,0.000744602,1343
LakeEucumbene,Australia,0.000512033,1953
LakeVostok,Antarctica,7.52E-05,13300
